№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
411	U+1F9D1 U+1F3FE U+200D U+1F52C	🧑🏾‍🔬	🧑🏾‍🔬	🧑🏾 🔬	scientist: medium-dark skin tone
412	U+1F9D1 U+1F3FF U+200D U+1F52C	🧑🏿‍🔬	🧑🏿‍🔬	🧑🏿 🔬	scientist: dark skin tone
413	U+1F468 U+200D U+1F52C	👨‍🔬	👨‍🔬	👨 🔬	man scientist
414	U+1F468 U+1F3FB U+200D U+1F52C	👨🏻‍🔬	👨🏻‍🔬	👨🏻 🔬	man scientist: light skin tone
415	U+1F468 U+1F3FC U+200D U+1F52C	👨🏼‍🔬	👨🏼‍🔬	👨🏼 🔬	man scientist: medium-light skin tone
416	U+1F468 U+1F3FD U+200D U+1F52C	👨🏽‍🔬	👨🏽‍🔬	👨🏽 🔬	man scientist: medium skin tone
417	U+1F468 U+1F3FE U+200D U+1F52C	👨🏾‍🔬	👨🏾‍🔬	👨🏾 🔬	man scientist: medium-dark skin tone
418	U+1F468 U+1F3FF U+200D U+1F52C	👨🏿‍🔬	👨🏿‍🔬	👨🏿 🔬	man scientist: dark skin tone
419	U+1F469 U+200D U+1F52C	👩‍🔬	👩‍🔬	👩 🔬	woman scientist
420	U+1F469 U+1F3FB U+200D U+1F52C	👩🏻‍🔬	👩🏻‍🔬	👩🏻 🔬	woman scientist: light skin tone
421	U+1F469 U+1F3FC U+200D U+1F52C	👩🏼‍🔬	👩🏼‍🔬	👩🏼 🔬	woman scientist: medium-light skin tone
422	U+1F469 U+1F3FD U+200D U+1F52C	👩🏽‍🔬	👩🏽‍🔬	👩🏽 🔬	woman scientist: medium skin tone
423	U+1F469 U+1F3FE U+200D U+1F52C	👩🏾‍🔬	👩🏾‍🔬	👩🏾 🔬	woman scientist: medium-dark skin tone
424	U+1F469 U+1F3FF U+200D U+1F52C	👩🏿‍🔬	👩🏿‍🔬	👩🏿 🔬	woman scientist: dark skin tone
425	U+1F9D1 U+200D U+1F4BB	🧑‍💻	🧑‍💻	🧑 💻	technologist
426	U+1F9D1 U+1F3FB U+200D U+1F4BB	🧑🏻‍💻	🧑🏻‍💻	🧑🏻 💻	technologist: light skin tone
427	U+1F9D1 U+1F3FC U+200D U+1F4BB	🧑🏼‍💻	🧑🏼‍💻	🧑🏼 💻	technologist: medium-light skin tone
428	U+1F9D1 U+1F3FD U+200D U+1F4BB	🧑🏽‍💻	🧑🏽‍💻	🧑🏽 💻	technologist: medium skin tone
429	U+1F9D1 U+1F3FE U+200D U+1F4BB	🧑🏾‍💻	🧑🏾‍💻	🧑🏾 💻	technologist: medium-dark skin tone
430	U+1F9D1 U+1F3FF U+200D U+1F4BB	🧑🏿‍💻	🧑🏿‍💻	🧑🏿 💻	technologist: dark skin tone
431	U+1F468 U+200D U+1F4BB	👨‍💻	👨‍💻	👨 💻	man technologist
432	U+1F468 U+1F3FB U+200D U+1F4BB	👨🏻‍💻	👨🏻‍💻	👨🏻 💻	man technologist: light skin tone
433	U+1F468 U+1F3FC U+200D U+1F4BB	👨🏼‍💻	👨🏼‍💻	👨🏼 💻	man technologist: medium-light skin tone
434	U+1F468 U+1F3FD U+200D U+1F4BB	👨🏽‍💻	👨🏽‍💻	👨🏽 💻	man technologist: medium skin tone
435	U+1F468 U+1F3FE U+200D U+1F4BB	👨🏾‍💻	👨🏾‍💻	👨🏾 💻	man technologist: medium-dark skin tone
436	U+1F468 U+1F3FF U+200D U+1F4BB	👨🏿‍💻	👨🏿‍💻	👨🏿 💻	man technologist: dark skin tone
437	U+1F469 U+200D U+1F4BB	👩‍💻	👩‍💻	👩 💻	woman technologist
438	U+1F469 U+1F3FB U+200D U+1F4BB	👩🏻‍💻	👩🏻‍💻	👩🏻 💻	woman technologist: light skin tone
439	U+1F469 U+1F3FC U+200D U+1F4BB	👩🏼‍💻	👩🏼‍💻	👩🏼 💻	woman technologist: medium-light skin tone
440	U+1F469 U+1F3FD U+200D U+1F4BB	👩🏽‍💻	👩🏽‍💻	👩🏽 💻	woman technologist: medium skin tone
441	U+1F469 U+1F3FE U+200D U+1F4BB	👩🏾‍💻	👩🏾‍💻	👩🏾 💻	woman technologist: medium-dark skin tone
442	U+1F469 U+1F3FF U+200D U+1F4BB	👩🏿‍💻	👩🏿‍💻	👩🏿 💻	woman technologist: dark skin tone
443	U+1F9D1 U+200D U+1F3A4	🧑‍🎤	🧑‍🎤	🧑 🎤	singer
444	U+1F9D1 U+1F3FB U+200D U+1F3A4	🧑🏻‍🎤	🧑🏻‍🎤	🧑🏻 🎤	singer: light skin tone
445	U+1F9D1 U+1F3FC U+200D U+1F3A4	🧑🏼‍🎤	🧑🏼‍🎤	🧑🏼 🎤	singer: medium-light skin tone
446	U+1F9D1 U+1F3FD U+200D U+1F3A4	🧑🏽‍🎤	🧑🏽‍🎤	🧑🏽 🎤	singer: medium skin tone
447	U+1F9D1 U+1F3FE U+200D U+1F3A4	🧑🏾‍🎤	🧑🏾‍🎤	🧑🏾 🎤	singer: medium-dark skin tone
448	U+1F9D1 U+1F3FF U+200D U+1F3A4	🧑🏿‍🎤	🧑🏿‍🎤	🧑🏿 🎤	singer: dark skin tone
449	U+1F468 U+200D U+1F3A4	👨‍🎤	👨‍🎤	👨 🎤	man singer
450	U+1F468 U+1F3FB U+200D U+1F3A4	👨🏻‍🎤	👨🏻‍🎤	👨🏻 🎤	man singer: light skin tone
451	U+1F468 U+1F3FC U+200D U+1F3A4	👨🏼‍🎤	👨🏼‍🎤	👨🏼 🎤	man singer: medium-light skin tone
452	U+1F468 U+1F3FD U+200D U+1F3A4	👨🏽‍🎤	👨🏽‍🎤	👨🏽 🎤	man singer: medium skin tone
453	U+1F468 U+1F3FE U+200D U+1F3A4	👨🏾‍🎤	👨🏾‍🎤	👨🏾 🎤	man singer: medium-dark skin tone
454	U+1F468 U+1F3FF U+200D U+1F3A4	👨🏿‍🎤	👨🏿‍🎤	👨🏿 🎤	man singer: dark skin tone
455	U+1F469 U+200D U+1F3A4	👩‍🎤	👩‍🎤	👩 🎤	woman singer
456	U+1F469 U+1F3FB U+200D U+1F3A4	👩🏻‍🎤	👩🏻‍🎤	👩🏻 🎤	woman singer: light skin tone
457	U+1F469 U+1F3FC U+200D U+1F3A4	👩🏼‍🎤	👩🏼‍🎤	👩🏼 🎤	woman singer: medium-light skin tone
458	U+1F469 U+1F3FD U+200D U+1F3A4	👩🏽‍🎤	👩🏽‍🎤	👩🏽 🎤	woman singer: medium skin tone
459	U+1F469 U+1F3FE U+200D U+1F3A4	👩🏾‍🎤	👩🏾‍🎤	👩🏾 🎤	woman singer: medium-dark skin tone
460	U+1F469 U+1F3FF U+200D U+1F3A4	👩🏿‍🎤	👩🏿‍🎤	👩🏿 🎤	woman singer: dark skin tone
461	U+1F9D1 U+200D U+1F3A8	🧑‍🎨	🧑‍🎨	🧑 🎨	artist
462	U+1F9D1 U+1F3FB U+200D U+1F3A8	🧑🏻‍🎨	🧑🏻‍🎨	🧑🏻 🎨	artist: light skin tone
463	U+1F9D1 U+1F3FC U+200D U+1F3A8	🧑🏼‍🎨	🧑🏼‍🎨	🧑🏼 🎨	artist: medium-light skin tone
464	U+1F9D1 U+1F3FD U+200D U+1F3A8	🧑🏽‍🎨	🧑🏽‍🎨	🧑🏽 🎨	artist: medium skin tone
465	U+1F9D1 U+1F3FE U+200D U+1F3A8	🧑🏾‍🎨	🧑🏾‍🎨	🧑🏾 🎨	artist: medium-dark skin tone
466	U+1F9D1 U+1F3FF U+200D U+1F3A8	🧑🏿‍🎨	🧑🏿‍🎨	🧑🏿 🎨	artist: dark skin tone
467	U+1F468 U+200D U+1F3A8	👨‍🎨	👨‍🎨	👨 🎨	man artist
468	U+1F468 U+1F3FB U+200D U+1F3A8	👨🏻‍🎨	👨🏻‍🎨	👨🏻 🎨	man artist: light skin tone
469	U+1F468 U+1F3FC U+200D U+1F3A8	👨🏼‍🎨	👨🏼‍🎨	👨🏼 🎨	man artist: medium-light skin tone
470	U+1F468 U+1F3FD U+200D U+1F3A8	👨🏽‍🎨	👨🏽‍🎨	👨🏽 🎨	man artist: medium skin tone
471	U+1F468 U+1F3FE U+200D U+1F3A8	👨🏾‍🎨	👨🏾‍🎨	👨🏾 🎨	man artist: medium-dark skin tone
472	U+1F468 U+1F3FF U+200D U+1F3A8	👨🏿‍🎨	👨🏿‍🎨	👨🏿 🎨	man artist: dark skin tone
473	U+1F469 U+200D U+1F3A8	👩‍🎨	👩‍🎨	👩 🎨	woman artist
474	U+1F469 U+1F3FB U+200D U+1F3A8	👩🏻‍🎨	👩🏻‍🎨	👩🏻 🎨	woman artist: light skin tone
475	U+1F469 U+1F3FC U+200D U+1F3A8	👩🏼‍🎨	👩🏼‍🎨	👩🏼 🎨	woman artist: medium-light skin tone
476	U+1F469 U+1F3FD U+200D U+1F3A8	👩🏽‍🎨	👩🏽‍🎨	👩🏽 🎨	woman artist: medium skin tone
477	U+1F469 U+1F3FE U+200D U+1F3A8	👩🏾‍🎨	👩🏾‍🎨	👩🏾 🎨	woman artist: medium-dark skin tone
478	U+1F469 U+1F3FF U+200D U+1F3A8	👩🏿‍🎨	👩🏿‍🎨	👩🏿 🎨	woman artist: dark skin tone
479	U+1F9D1 U+200D U+2708 U+FE0F	🧑‍✈️	🧑‍✈️	🧑 ✈	pilot
480	U+1F9D1 U+1F3FB U+200D U+2708 U+FE0F	🧑🏻‍✈️	🧑🏻‍✈️	🧑🏻 ✈	pilot: light skin tone
481	U+1F9D1 U+1F3FC U+200D U+2708 U+FE0F	🧑🏼‍✈️	🧑🏼‍✈️	🧑🏼 ✈	pilot: medium-light skin tone
482	U+1F9D1 U+1F3FD U+200D U+2708 U+FE0F	🧑🏽‍✈️	🧑🏽‍✈️	🧑🏽 ✈	pilot: medium skin tone
483	U+1F9D1 U+1F3FE U+200D U+2708 U+FE0F	🧑🏾‍✈️	🧑🏾‍✈️	🧑🏾 ✈	pilot: medium-dark skin tone
484	U+1F9D1 U+1F3FF U+200D U+2708 U+FE0F	🧑🏿‍✈️	🧑🏿‍✈️	🧑🏿 ✈	pilot: dark skin tone
485	U+1F468 U+200D U+2708 U+FE0F	👨‍✈️	👨‍✈️	👨 ✈	man pilot
486	U+1F468 U+1F3FB U+200D U+2708 U+FE0F	👨🏻‍✈️	👨🏻‍✈️	👨🏻 ✈	man pilot: light skin tone
487	U+1F468 U+1F3FC U+200D U+2708 U+FE0F	👨🏼‍✈️	👨🏼‍✈️	👨🏼 ✈	man pilot: medium-light skin tone
488	U+1F468 U+1F3FD U+200D U+2708 U+FE0F	👨🏽‍✈️	👨🏽‍✈️	👨🏽 ✈	man pilot: medium skin tone
489	U+1F468 U+1F3FE U+200D U+2708 U+FE0F	👨🏾‍✈️	👨🏾‍✈️	👨🏾 ✈	man pilot: medium-dark skin tone
490	U+1F468 U+1F3FF U+200D U+2708 U+FE0F	👨🏿‍✈️	👨🏿‍✈️	👨🏿 ✈	man pilot: dark skin tone
491	U+1F469 U+200D U+2708 U+FE0F	👩‍✈️	👩‍✈️	👩 ✈	woman pilot
492	U+1F469 U+1F3FB U+200D U+2708 U+FE0F	👩🏻‍✈️	👩🏻‍✈️	👩🏻 ✈	woman pilot: light skin tone
493	U+1F469 U+1F3FC U+200D U+2708 U+FE0F	👩🏼‍✈️	👩🏼‍✈️	👩🏼 ✈	woman pilot: medium-light skin tone
494	U+1F469 U+1F3FD U+200D U+2708 U+FE0F	👩🏽‍✈️	👩🏽‍✈️	👩🏽 ✈	woman pilot: medium skin tone
495	U+1F469 U+1F3FE U+200D U+2708 U+FE0F	👩🏾‍✈️	👩🏾‍✈️	👩🏾 ✈	woman pilot: medium-dark skin tone
496	U+1F469 U+1F3FF U+200D U+2708 U+FE0F	👩🏿‍✈️	👩🏿‍✈️	👩🏿 ✈	woman pilot: dark skin tone
497	U+1F9D1 U+200D U+1F680	🧑‍🚀	🧑‍🚀	🧑 🚀	astronaut
498	U+1F9D1 U+1F3FB U+200D U+1F680	🧑🏻‍🚀	🧑🏻‍🚀	🧑🏻 🚀	astronaut: light skin tone
499	U+1F9D1 U+1F3FC U+200D U+1F680	🧑🏼‍🚀	🧑🏼‍🚀	🧑🏼 🚀	astronaut: medium-light skin tone
500	U+1F9D1 U+1F3FD U+200D U+1F680	🧑🏽‍🚀	🧑🏽‍🚀	🧑🏽 🚀	astronaut: medium skin tone
501	U+1F9D1 U+1F3FE U+200D U+1F680	🧑🏾‍🚀	🧑🏾‍🚀	🧑🏾 🚀	astronaut: medium-dark skin tone
502	U+1F9D1 U+1F3FF U+200D U+1F680	🧑🏿‍🚀	🧑🏿‍🚀	🧑🏿 🚀	astronaut: dark skin tone
503	U+1F468 U+200D U+1F680	👨‍🚀	👨‍🚀	👨 🚀	man astronaut
504	U+1F468 U+1F3FB U+200D U+1F680	👨🏻‍🚀	👨🏻‍🚀	👨🏻 🚀	man astronaut: light skin tone
505	U+1F468 U+1F3FC U+200D U+1F680	👨🏼‍🚀	👨🏼‍🚀	👨🏼 🚀	man astronaut: medium-light skin tone
506	U+1F468 U+1F3FD U+200D U+1F680	👨🏽‍🚀	👨🏽‍🚀	👨🏽 🚀	man astronaut: medium skin tone
507	U+1F468 U+1F3FE U+200D U+1F680	👨🏾‍🚀	👨🏾‍🚀	👨🏾 🚀	man astronaut: medium-dark skin tone
508	U+1F468 U+1F3FF U+200D U+1F680	👨🏿‍🚀	👨🏿‍🚀	👨🏿 🚀	man astronaut: dark skin tone
509	U+1F469 U+200D U+1F680	👩‍🚀	👩‍🚀	👩 🚀	woman astronaut
510	U+1F469 U+1F3FB U+200D U+1F680	👩🏻‍🚀	👩🏻‍🚀	👩🏻 🚀	woman astronaut: light skin tone
511	U+1F469 U+1F3FC U+200D U+1F680	👩🏼‍🚀	👩🏼‍🚀	👩🏼 🚀	woman astronaut: medium-light skin tone
512	U+1F469 U+1F3FD U+200D U+1F680	👩🏽‍🚀	👩🏽‍🚀	👩🏽 🚀	woman astronaut: medium skin tone
513	U+1F469 U+1F3FE U+200D U+1F680	👩🏾‍🚀	👩🏾‍🚀	👩🏾 🚀	woman astronaut: medium-dark skin tone
514	U+1F469 U+1F3FF U+200D U+1F680	👩🏿‍🚀	👩🏿‍🚀	👩🏿 🚀	woman astronaut: dark skin tone
515	U+1F9D1 U+200D U+1F692	🧑‍🚒	🧑‍🚒	🧑 🚒	firefighter
516	U+1F9D1 U+1F3FB U+200D U+1F692	🧑🏻‍🚒	🧑🏻‍🚒	🧑🏻 🚒	firefighter: light skin tone
517	U+1F9D1 U+1F3FC U+200D U+1F692	🧑🏼‍🚒	🧑🏼‍🚒	🧑🏼 🚒	firefighter: medium-light skin tone
518	U+1F9D1 U+1F3FD U+200D U+1F692	🧑🏽‍🚒	🧑🏽‍🚒	🧑🏽 🚒	firefighter: medium skin tone
519	U+1F9D1 U+1F3FE U+200D U+1F692	🧑🏾‍🚒	🧑🏾‍🚒	🧑🏾 🚒	firefighter: medium-dark skin tone
520	U+1F9D1 U+1F3FF U+200D U+1F692	🧑🏿‍🚒	🧑🏿‍🚒	🧑🏿 🚒	firefighter: dark skin tone
521	U+1F468 U+200D U+1F692	👨‍🚒	👨‍🚒	👨 🚒	man firefighter
522	U+1F468 U+1F3FB U+200D U+1F692	👨🏻‍🚒	👨🏻‍🚒	👨🏻 🚒	man firefighter: light skin tone
523	U+1F468 U+1F3FC U+200D U+1F692	👨🏼‍🚒	👨🏼‍🚒	👨🏼 🚒	man firefighter: medium-light skin tone
524	U+1F468 U+1F3FD U+200D U+1F692	👨🏽‍🚒	👨🏽‍🚒	👨🏽 🚒	man firefighter: medium skin tone
525	U+1F468 U+1F3FE U+200D U+1F692	👨🏾‍🚒	👨🏾‍🚒	👨🏾 🚒	man firefighter: medium-dark skin tone
526	U+1F468 U+1F3FF U+200D U+1F692	👨🏿‍🚒	👨🏿‍🚒	👨🏿 🚒	man firefighter: dark skin tone
527	U+1F469 U+200D U+1F692	👩‍🚒	👩‍🚒	👩 🚒	woman firefighter
528	U+1F469 U+1F3FB U+200D U+1F692	👩🏻‍🚒	👩🏻‍🚒	👩🏻 🚒	woman firefighter: light skin tone
529	U+1F469 U+1F3FC U+200D U+1F692	👩🏼‍🚒	👩🏼‍🚒	👩🏼 🚒	woman firefighter: medium-light skin tone
530	U+1F469 U+1F3FD U+200D U+1F692	👩🏽‍🚒	👩🏽‍🚒	👩🏽 🚒	woman firefighter: medium skin tone
531	U+1F469 U+1F3FE U+200D U+1F692	👩🏾‍🚒	👩🏾‍🚒	👩🏾 🚒	woman firefighter: medium-dark skin tone
532	U+1F469 U+1F3FF U+200D U+1F692	👩🏿‍🚒	👩🏿‍🚒	👩🏿 🚒	woman firefighter: dark skin tone
533	U+1F46E U+200D U+2642 U+FE0F	👮‍♂️	👮‍♂️	👮 ♂	man police officer
534	U+1F46E U+1F3FB U+200D U+2642 U+FE0F	👮🏻‍♂️	👮🏻‍♂️	👮🏻 ♂	man police officer: light skin tone
535	U+1F46E U+1F3FC U+200D U+2642 U+FE0F	👮🏼‍♂️	👮🏼‍♂️	👮🏼 ♂	man police officer: medium-light skin tone
536	U+1F46E U+1F3FD U+200D U+2642 U+FE0F	👮🏽‍♂️	👮🏽‍♂️	👮🏽 ♂	man police officer: medium skin tone
537	U+1F46E U+1F3FE U+200D U+2642 U+FE0F	👮🏾‍♂️	👮🏾‍♂️	👮🏾 ♂	man police officer: medium-dark skin tone
538	U+1F46E U+1F3FF U+200D U+2642 U+FE0F	👮🏿‍♂️	👮🏿‍♂️	👮🏿 ♂	man police officer: dark skin tone
539	U+1F46E U+200D U+2640 U+FE0F	👮‍♀️	👮‍♀️	👮 ♀	woman police officer
540	U+1F46E U+1F3FB U+200D U+2640 U+FE0F	👮🏻‍♀️	👮🏻‍♀️	👮🏻 ♀	woman police officer: light skin tone
541	U+1F46E U+1F3FC U+200D U+2640 U+FE0F	👮🏼‍♀️	👮🏼‍♀️	👮🏼 ♀	woman police officer: medium-light skin tone
542	U+1F46E U+1F3FD U+200D U+2640 U+FE0F	👮🏽‍♀️	👮🏽‍♀️	👮🏽 ♀	woman police officer: medium skin tone
543	U+1F46E U+1F3FE U+200D U+2640 U+FE0F	👮🏾‍♀️	👮🏾‍♀️	👮🏾 ♀	woman police officer: medium-dark skin tone
544	U+1F46E U+1F3FF U+200D U+2640 U+FE0F	👮🏿‍♀️	👮🏿‍♀️	👮🏿 ♀	woman police officer: dark skin tone
545	U+1F575 U+FE0F U+200D U+2642 U+FE0F	🕵️‍♂️	🕵️‍♂️	🕵 ♂	man detective
546	U+1F575 U+1F3FB U+200D U+2642 U+FE0F	🕵🏻‍♂️	🕵🏻‍♂️	🕵🏻 ♂	man detective: light skin tone
547	U+1F575 U+1F3FC U+200D U+2642 U+FE0F	🕵🏼‍♂️	🕵🏼‍♂️	🕵🏼 ♂	man detective: medium-light skin tone
548	U+1F575 U+1F3FD U+200D U+2642 U+FE0F	🕵🏽‍♂️	🕵🏽‍♂️	🕵🏽 ♂	man detective: medium skin tone
549	U+1F575 U+1F3FE U+200D U+2642 U+FE0F	🕵🏾‍♂️	🕵🏾‍♂️	🕵🏾 ♂	man detective: medium-dark skin tone
550	U+1F575 U+1F3FF U+200D U+2642 U+FE0F	🕵🏿‍♂️	🕵🏿‍♂️	🕵🏿 ♂	man detective: dark skin tone
551	U+1F575 U+FE0F U+200D U+2640 U+FE0F	🕵️‍♀️	🕵️‍♀️	🕵 ♀	woman detective
552	U+1F575 U+1F3FB U+200D U+2640 U+FE0F	🕵🏻‍♀️	🕵🏻‍♀️	🕵🏻 ♀	woman detective: light skin tone
553	U+1F575 U+1F3FC U+200D U+2640 U+FE0F	🕵🏼‍♀️	🕵🏼‍♀️	🕵🏼 ♀	woman detective: medium-light skin tone
554	U+1F575 U+1F3FD U+200D U+2640 U+FE0F	🕵🏽‍♀️	🕵🏽‍♀️	🕵🏽 ♀	woman detective: medium skin tone
555	U+1F575 U+1F3FE U+200D U+2640 U+FE0F	🕵🏾‍♀️	🕵🏾‍♀️	🕵🏾 ♀	woman detective: medium-dark skin tone
556	U+1F575 U+1F3FF U+200D U+2640 U+FE0F	🕵🏿‍♀️	🕵🏿‍♀️	🕵🏿 ♀	woman detective: dark skin tone
557	U+1F482 U+200D U+2642 U+FE0F	💂‍♂️	💂‍♂️	💂 ♂	man guard
558	U+1F482 U+1F3FB U+200D U+2642 U+FE0F	💂🏻‍♂️	💂🏻‍♂️	💂🏻 ♂	man guard: light skin tone
559	U+1F482 U+1F3FC U+200D U+2642 U+FE0F	💂🏼‍♂️	💂🏼‍♂️	💂🏼 ♂	man guard: medium-light skin tone
560	U+1F482 U+1F3FD U+200D U+2642 U+FE0F	💂🏽‍♂️	💂🏽‍♂️	💂🏽 ♂	man guard: medium skin tone
561	U+1F482 U+1F3FE U+200D U+2642 U+FE0F	💂🏾‍♂️	💂🏾‍♂️	💂🏾 ♂	man guard: medium-dark skin tone
562	U+1F482 U+1F3FF U+200D U+2642 U+FE0F	💂🏿‍♂️	💂🏿‍♂️	💂🏿 ♂	man guard: dark skin tone
563	U+1F482 U+200D U+2640 U+FE0F	💂‍♀️	💂‍♀️	💂 ♀	woman guard
564	U+1F482 U+1F3FB U+200D U+2640 U+FE0F	💂🏻‍♀️	💂🏻‍♀️	💂🏻 ♀	woman guard: light skin tone
565	U+1F482 U+1F3FC U+200D U+2640 U+FE0F	💂🏼‍♀️	💂🏼‍♀️	💂🏼 ♀	woman guard: medium-light skin tone
566	U+1F482 U+1F3FD U+200D U+2640 U+FE0F	💂🏽‍♀️	💂🏽‍♀️	💂🏽 ♀	woman guard: medium skin tone
567	U+1F482 U+1F3FE U+200D U+2640 U+FE0F	💂🏾‍♀️	💂🏾‍♀️	💂🏾 ♀	woman guard: medium-dark skin tone
568	U+1F482 U+1F3FF U+200D U+2640 U+FE0F	💂🏿‍♀️	💂🏿‍♀️	💂🏿 ♀	woman guard: dark skin tone
569	U+1F477 U+200D U+2642 U+FE0F	👷‍♂️	👷‍♂️	👷 ♂	man construction worker
570	U+1F477 U+1F3FB U+200D U+2642 U+FE0F	👷🏻‍♂️	👷🏻‍♂️	👷🏻 ♂	man construction worker: light skin tone
571	U+1F477 U+1F3FC U+200D U+2642 U+FE0F	👷🏼‍♂️	👷🏼‍♂️	👷🏼 ♂	man construction worker: medium-light skin tone
572	U+1F477 U+1F3FD U+200D U+2642 U+FE0F	👷🏽‍♂️	👷🏽‍♂️	👷🏽 ♂	man construction worker: medium skin tone
573	U+1F477 U+1F3FE U+200D U+2642 U+FE0F	👷🏾‍♂️	👷🏾‍♂️	👷🏾 ♂	man construction worker: medium-dark skin tone
574	U+1F477 U+1F3FF U+200D U+2642 U+FE0F	👷🏿‍♂️	👷🏿‍♂️	👷🏿 ♂	man construction worker: dark skin tone
575	U+1F477 U+200D U+2640 U+FE0F	👷‍♀️	👷‍♀️	👷 ♀	woman construction worker
576	U+1F477 U+1F3FB U+200D U+2640 U+FE0F	👷🏻‍♀️	👷🏻‍♀️	👷🏻 ♀	woman construction worker: light skin tone
577	U+1F477 U+1F3FC U+200D U+2640 U+FE0F	👷🏼‍♀️	👷🏼‍♀️	👷🏼 ♀	woman construction worker: medium-light skin tone
578	U+1F477 U+1F3FD U+200D U+2640 U+FE0F	👷🏽‍♀️	👷🏽‍♀️	👷🏽 ♀	woman construction worker: medium skin tone
579	U+1F477 U+1F3FE U+200D U+2640 U+FE0F	👷🏾‍♀️	👷🏾‍♀️	👷🏾 ♀	woman construction worker: medium-dark skin tone
580	U+1F477 U+1F3FF U+200D U+2640 U+FE0F	👷🏿‍♀️	👷🏿‍♀️	👷🏿 ♀	woman construction worker: dark skin tone
581	U+1F473 U+200D U+2642 U+FE0F	👳‍♂️	👳‍♂️	👳 ♂	man wearing turban
582	U+1F473 U+1F3FB U+200D U+2642 U+FE0F	👳🏻‍♂️	👳🏻‍♂️	👳🏻 ♂	man wearing turban: light skin tone
583	U+1F473 U+1F3FC U+200D U+2642 U+FE0F	👳🏼‍♂️	👳🏼‍♂️	👳🏼 ♂	man wearing turban: medium-light skin tone
584	U+1F473 U+1F3FD U+200D U+2642 U+FE0F	👳🏽‍♂️	👳🏽‍♂️	👳🏽 ♂	man wearing turban: medium skin tone
585	U+1F473 U+1F3FE U+200D U+2642 U+FE0F	👳🏾‍♂️	👳🏾‍♂️	👳🏾 ♂	man wearing turban: medium-dark skin tone
586	U+1F473 U+1F3FF U+200D U+2642 U+FE0F	👳🏿‍♂️	👳🏿‍♂️	👳🏿 ♂	man wearing turban: dark skin tone
587	U+1F473 U+200D U+2640 U+FE0F	👳‍♀️	👳‍♀️	👳 ♀	woman wearing turban
588	U+1F473 U+1F3FB U+200D U+2640 U+FE0F	👳🏻‍♀️	👳🏻‍♀️	👳🏻 ♀	woman wearing turban: light skin tone
589	U+1F473 U+1F3FC U+200D U+2640 U+FE0F	👳🏼‍♀️	👳🏼‍♀️	👳🏼 ♀	woman wearing turban: medium-light skin tone
590	U+1F473 U+1F3FD U+200D U+2640 U+FE0F	👳🏽‍♀️	👳🏽‍♀️	👳🏽 ♀	woman wearing turban: medium skin tone
591	U+1F473 U+1F3FE U+200D U+2640 U+FE0F	👳🏾‍♀️	👳🏾‍♀️	👳🏾 ♀	woman wearing turban: medium-dark skin tone
592	U+1F473 U+1F3FF U+200D U+2640 U+FE0F	👳🏿‍♀️	👳🏿‍♀️	👳🏿 ♀	woman wearing turban: dark skin tone
593	U+1F935 U+200D U+2642 U+FE0F	🤵‍♂️	🤵‍♂️	🤵 ♂	man in tuxedo
594	U+1F935 U+1F3FB U+200D U+2642 U+FE0F	🤵🏻‍♂️	🤵🏻‍♂️	🤵🏻 ♂	man in tuxedo: light skin tone
595	U+1F935 U+1F3FC U+200D U+2642 U+FE0F	🤵🏼‍♂️	🤵🏼‍♂️	🤵🏼 ♂	man in tuxedo: medium-light skin tone
596	U+1F935 U+1F3FD U+200D U+2642 U+FE0F	🤵🏽‍♂️	🤵🏽‍♂️	🤵🏽 ♂	man in tuxedo: medium skin tone
597	U+1F935 U+1F3FE U+200D U+2642 U+FE0F	🤵🏾‍♂️	🤵🏾‍♂️	🤵🏾 ♂	man in tuxedo: medium-dark skin tone
598	U+1F935 U+1F3FF U+200D U+2642 U+FE0F	🤵🏿‍♂️	🤵🏿‍♂️	🤵🏿 ♂	man in tuxedo: dark skin tone
599	U+1F935 U+200D U+2640 U+FE0F	🤵‍♀️	🤵‍♀️	🤵 ♀	woman in tuxedo
600	U+1F935 U+1F3FB U+200D U+2640 U+FE0F	🤵🏻‍♀️	🤵🏻‍♀️	🤵🏻 ♀	woman in tuxedo: light skin tone
601	U+1F935 U+1F3FC U+200D U+2640 U+FE0F	🤵🏼‍♀️	🤵🏼‍♀️	🤵🏼 ♀	woman in tuxedo: medium-light skin tone
602	U+1F935 U+1F3FD U+200D U+2640 U+FE0F	🤵🏽‍♀️	🤵🏽‍♀️	🤵🏽 ♀	woman in tuxedo: medium skin tone
603	U+1F935 U+1F3FE U+200D U+2640 U+FE0F	🤵🏾‍♀️	🤵🏾‍♀️	🤵🏾 ♀	woman in tuxedo: medium-dark skin tone
604	U+1F935 U+1F3FF U+200D U+2640 U+FE0F	🤵🏿‍♀️	🤵🏿‍♀️	🤵🏿 ♀	woman in tuxedo: dark skin tone
605	U+1F470 U+200D U+2642 U+FE0F	👰‍♂️	👰‍♂️	👰 ♂	man with veil
606	U+1F470 U+1F3FB U+200D U+2642 U+FE0F	👰🏻‍♂️	👰🏻‍♂️	👰🏻 ♂	man with veil: light skin tone
607	U+1F470 U+1F3FC U+200D U+2642 U+FE0F	👰🏼‍♂️	👰🏼‍♂️	👰🏼 ♂	man with veil: medium-light skin tone
