№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
38	U+1F9D4 U+1F3FD U+200D U+2640 U+FE0F	🧔🏽‍♀️	🧔🏽‍♀️	🧔🏽 ♀	woman: medium skin tone, beard
39	U+1F9D4 U+1F3FE U+200D U+2640 U+FE0F	🧔🏾‍♀️	🧔🏾‍♀️	🧔🏾 ♀	woman: medium-dark skin tone, beard
40	U+1F9D4 U+1F3FF U+200D U+2640 U+FE0F	🧔🏿‍♀️	🧔🏿‍♀️	🧔🏿 ♀	woman: dark skin tone, beard
41	U+1F468 U+200D U+1F9B0	👨‍🦰	👨‍🦰	👨 🦰	man: red hair
42	U+1F468 U+1F3FB U+200D U+1F9B0	👨🏻‍🦰	👨🏻‍🦰	👨🏻 🦰	man: light skin tone, red hair
43	U+1F468 U+1F3FC U+200D U+1F9B0	👨🏼‍🦰	👨🏼‍🦰	👨🏼 🦰	man: medium-light skin tone, red hair
44	U+1F468 U+1F3FD U+200D U+1F9B0	👨🏽‍🦰	👨🏽‍🦰	👨🏽 🦰	man: medium skin tone, red hair
45	U+1F468 U+1F3FE U+200D U+1F9B0	👨🏾‍🦰	👨🏾‍🦰	👨🏾 🦰	man: medium-dark skin tone, red hair
46	U+1F468 U+1F3FF U+200D U+1F9B0	👨🏿‍🦰	👨🏿‍🦰	👨🏿 🦰	man: dark skin tone, red hair
47	U+1F468 U+200D U+1F9B1	👨‍🦱	👨‍🦱	👨 🦱	man: curly hair
48	U+1F468 U+1F3FB U+200D U+1F9B1	👨🏻‍🦱	👨🏻‍🦱	👨🏻 🦱	man: light skin tone, curly hair
49	U+1F468 U+1F3FC U+200D U+1F9B1	👨🏼‍🦱	👨🏼‍🦱	👨🏼 🦱	man: medium-light skin tone, curly hair
50	U+1F468 U+1F3FD U+200D U+1F9B1	👨🏽‍🦱	👨🏽‍🦱	👨🏽 🦱	man: medium skin tone, curly hair
51	U+1F468 U+1F3FE U+200D U+1F9B1	👨🏾‍🦱	👨🏾‍🦱	👨🏾 🦱	man: medium-dark skin tone, curly hair
52	U+1F468 U+1F3FF U+200D U+1F9B1	👨🏿‍🦱	👨🏿‍🦱	👨🏿 🦱	man: dark skin tone, curly hair
53	U+1F468 U+200D U+1F9B3	👨‍🦳	👨‍🦳	👨 🦳	man: white hair
54	U+1F468 U+1F3FB U+200D U+1F9B3	👨🏻‍🦳	👨🏻‍🦳	👨🏻 🦳	man: light skin tone, white hair
55	U+1F468 U+1F3FC U+200D U+1F9B3	👨🏼‍🦳	👨🏼‍🦳	👨🏼 🦳	man: medium-light skin tone, white hair
56	U+1F468 U+1F3FD U+200D U+1F9B3	👨🏽‍🦳	👨🏽‍🦳	👨🏽 🦳	man: medium skin tone, white hair
57	U+1F468 U+1F3FE U+200D U+1F9B3	👨🏾‍🦳	👨🏾‍🦳	👨🏾 🦳	man: medium-dark skin tone, white hair
58	U+1F468 U+1F3FF U+200D U+1F9B3	👨🏿‍🦳	👨🏿‍🦳	👨🏿 🦳	man: dark skin tone, white hair
59	U+1F468 U+200D U+1F9B2	👨‍🦲	👨‍🦲	👨 🦲	man: bald
60	U+1F468 U+1F3FB U+200D U+1F9B2	👨🏻‍🦲	👨🏻‍🦲	👨🏻 🦲	man: light skin tone, bald
61	U+1F468 U+1F3FC U+200D U+1F9B2	👨🏼‍🦲	👨🏼‍🦲	👨🏼 🦲	man: medium-light skin tone, bald
62	U+1F468 U+1F3FD U+200D U+1F9B2	👨🏽‍🦲	👨🏽‍🦲	👨🏽 🦲	man: medium skin tone, bald
63	U+1F468 U+1F3FE U+200D U+1F9B2	👨🏾‍🦲	👨🏾‍🦲	👨🏾 🦲	man: medium-dark skin tone, bald
64	U+1F468 U+1F3FF U+200D U+1F9B2	👨🏿‍🦲	👨🏿‍🦲	👨🏿 🦲	man: dark skin tone, bald
65	U+1F469 U+200D U+1F9B0	👩‍🦰	👩‍🦰	👩 🦰	woman: red hair
66	U+1F469 U+1F3FB U+200D U+1F9B0	👩🏻‍🦰	👩🏻‍🦰	👩🏻 🦰	woman: light skin tone, red hair
67	U+1F469 U+1F3FC U+200D U+1F9B0	👩🏼‍🦰	👩🏼‍🦰	👩🏼 🦰	woman: medium-light skin tone, red hair
68	U+1F469 U+1F3FD U+200D U+1F9B0	👩🏽‍🦰	👩🏽‍🦰	👩🏽 🦰	woman: medium skin tone, red hair
69	U+1F469 U+1F3FE U+200D U+1F9B0	👩🏾‍🦰	👩🏾‍🦰	👩🏾 🦰	woman: medium-dark skin tone, red hair
70	U+1F469 U+1F3FF U+200D U+1F9B0	👩🏿‍🦰	👩🏿‍🦰	👩🏿 🦰	woman: dark skin tone, red hair
71	U+1F9D1 U+200D U+1F9B0	🧑‍🦰	🧑‍🦰	🧑 🦰	person: red hair
72	U+1F9D1 U+1F3FB U+200D U+1F9B0	🧑🏻‍🦰	🧑🏻‍🦰	🧑🏻 🦰	person: light skin tone, red hair
73	U+1F9D1 U+1F3FC U+200D U+1F9B0	🧑🏼‍🦰	🧑🏼‍🦰	🧑🏼 🦰	person: medium-light skin tone, red hair
74	U+1F9D1 U+1F3FD U+200D U+1F9B0	🧑🏽‍🦰	🧑🏽‍🦰	🧑🏽 🦰	person: medium skin tone, red hair
75	U+1F9D1 U+1F3FE U+200D U+1F9B0	🧑🏾‍🦰	🧑🏾‍🦰	🧑🏾 🦰	person: medium-dark skin tone, red hair
76	U+1F9D1 U+1F3FF U+200D U+1F9B0	🧑🏿‍🦰	🧑🏿‍🦰	🧑🏿 🦰	person: dark skin tone, red hair
77	U+1F469 U+200D U+1F9B1	👩‍🦱	👩‍🦱	👩 🦱	woman: curly hair
78	U+1F469 U+1F3FB U+200D U+1F9B1	👩🏻‍🦱	👩🏻‍🦱	👩🏻 🦱	woman: light skin tone, curly hair
79	U+1F469 U+1F3FC U+200D U+1F9B1	👩🏼‍🦱	👩🏼‍🦱	👩🏼 🦱	woman: medium-light skin tone, curly hair
80	U+1F469 U+1F3FD U+200D U+1F9B1	👩🏽‍🦱	👩🏽‍🦱	👩🏽 🦱	woman: medium skin tone, curly hair
81	U+1F469 U+1F3FE U+200D U+1F9B1	👩🏾‍🦱	👩🏾‍🦱	👩🏾 🦱	woman: medium-dark skin tone, curly hair
82	U+1F469 U+1F3FF U+200D U+1F9B1	👩🏿‍🦱	👩🏿‍🦱	👩🏿 🦱	woman: dark skin tone, curly hair
83	U+1F9D1 U+200D U+1F9B1	🧑‍🦱	🧑‍🦱	🧑 🦱	person: curly hair
84	U+1F9D1 U+1F3FB U+200D U+1F9B1	🧑🏻‍🦱	🧑🏻‍🦱	🧑🏻 🦱	person: light skin tone, curly hair
85	U+1F9D1 U+1F3FC U+200D U+1F9B1	🧑🏼‍🦱	🧑🏼‍🦱	🧑🏼 🦱	person: medium-light skin tone, curly hair
86	U+1F9D1 U+1F3FD U+200D U+1F9B1	🧑🏽‍🦱	🧑🏽‍🦱	🧑🏽 🦱	person: medium skin tone, curly hair
87	U+1F9D1 U+1F3FE U+200D U+1F9B1	🧑🏾‍🦱	🧑🏾‍🦱	🧑🏾 🦱	person: medium-dark skin tone, curly hair
88	U+1F9D1 U+1F3FF U+200D U+1F9B1	🧑🏿‍🦱	🧑🏿‍🦱	🧑🏿 🦱	person: dark skin tone, curly hair
89	U+1F469 U+200D U+1F9B3	👩‍🦳	👩‍🦳	👩 🦳	woman: white hair
90	U+1F469 U+1F3FB U+200D U+1F9B3	👩🏻‍🦳	👩🏻‍🦳	👩🏻 🦳	woman: light skin tone, white hair
91	U+1F469 U+1F3FC U+200D U+1F9B3	👩🏼‍🦳	👩🏼‍🦳	👩🏼 🦳	woman: medium-light skin tone, white hair
92	U+1F469 U+1F3FD U+200D U+1F9B3	👩🏽‍🦳	👩🏽‍🦳	👩🏽 🦳	woman: medium skin tone, white hair
93	U+1F469 U+1F3FE U+200D U+1F9B3	👩🏾‍🦳	👩🏾‍🦳	👩🏾 🦳	woman: medium-dark skin tone, white hair
94	U+1F469 U+1F3FF U+200D U+1F9B3	👩🏿‍🦳	👩🏿‍🦳	👩🏿 🦳	woman: dark skin tone, white hair
95	U+1F9D1 U+200D U+1F9B3	🧑‍🦳	🧑‍🦳	🧑 🦳	person: white hair
96	U+1F9D1 U+1F3FB U+200D U+1F9B3	🧑🏻‍🦳	🧑🏻‍🦳	🧑🏻 🦳	person: light skin tone, white hair
97	U+1F9D1 U+1F3FC U+200D U+1F9B3	🧑🏼‍🦳	🧑🏼‍🦳	🧑🏼 🦳	person: medium-light skin tone, white hair
98	U+1F9D1 U+1F3FD U+200D U+1F9B3	🧑🏽‍🦳	🧑🏽‍🦳	🧑🏽 🦳	person: medium skin tone, white hair
99	U+1F9D1 U+1F3FE U+200D U+1F9B3	🧑🏾‍🦳	🧑🏾‍🦳	🧑🏾 🦳	person: medium-dark skin tone, white hair
100	U+1F9D1 U+1F3FF U+200D U+1F9B3	🧑🏿‍🦳	🧑🏿‍🦳	🧑🏿 🦳	person: dark skin tone, white hair
101	U+1F469 U+200D U+1F9B2	👩‍🦲	👩‍🦲	👩 🦲	woman: bald
102	U+1F469 U+1F3FB U+200D U+1F9B2	👩🏻‍🦲	👩🏻‍🦲	👩🏻 🦲	woman: light skin tone, bald
103	U+1F469 U+1F3FC U+200D U+1F9B2	👩🏼‍🦲	👩🏼‍🦲	👩🏼 🦲	woman: medium-light skin tone, bald
104	U+1F469 U+1F3FD U+200D U+1F9B2	👩🏽‍🦲	👩🏽‍🦲	👩🏽 🦲	woman: medium skin tone, bald
105	U+1F469 U+1F3FE U+200D U+1F9B2	👩🏾‍🦲	👩🏾‍🦲	👩🏾 🦲	woman: medium-dark skin tone, bald
106	U+1F469 U+1F3FF U+200D U+1F9B2	👩🏿‍🦲	👩🏿‍🦲	👩🏿 🦲	woman: dark skin tone, bald
107	U+1F9D1 U+200D U+1F9B2	🧑‍🦲	🧑‍🦲	🧑 🦲	person: bald
